Type,PROVIDER NAME,StartDateTime,DateCreated,ID,ExternalID,FareAmount,GratuityAmount,SurchargeAmount,ExtraFareAmount,TollAmount,TotalAmount,PaymentType,StartDateTime,EndDateTime,OriginStreetNumber,OriginStreetName,OriginCity,OriginState,OriginZip,OriginLatitude,OriginLongitude,DestinationStreetNumber,DestinationStreetName,DestinationCity,DestinationState,DestinationZip,DestinationLatitude,DestinationLongitude,Milage,Duration
1,UVC,2017-01-01 00:00:00.0000000 +00:00,2017-01-01 00:17:45.7966667 +00:00,B697__80974__2017-01-01T00:17:45.797_26359357,26359357,9.73,0,0.25,0,0,9.98,2,2017-01-01 00:00:00.0000000 +00:00,2017-01-01 00:14:00.0000000 +00:00,NULL,1401 H ST NW,Washington,DC,20005,38.90028,-77.0321,NULL,1212-1220 22nd St NW,Washington,DC,20037,38.90573,-77.0488,1.3,14
1,UVC,2017-01-01 00:12:00.0000000 +00:00,2017-01-01 00:17:45.9366667 +00:00,B910__74947__2017-01-01T00:17:45.937_26359358,26359358,4.33,0,0.25,1,0,5.58,2,2017-01-01 00:12:00.0000000 +00:00,2017-01-01 00:15:00.0000000 +00:00,NULL,325-399 7th St NW,Washington,DC,20004,38.89477,-77.02191,NULL,500 8th St NW,Washington,DC,20004,38.89641,-77.02313,0.2,3
1,UVC,2017-01-01 00:03:00.0000000 +00:00,2017-01-01 00:17:46.0800000 +00:00,C191__77233__2017-01-01T00:17:46.080_26359359,26359359,8.11,0,0.25,1,0,9.36,2,2017-01-01 00:03:00.0000000 +00:00,2017-01-01 00:14:00.0000000 +00:00,NULL,1630-1634 R St NW,Washington,DC,20009,38.91257,-77.03788,NULL,2953-2961 14th St NW,Washington,DC,20009,38.92714,-77.03247,1.4,11
1,UVC,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:17:46.2300000 +00:00,B794__72821__2017-01-01T00:17:46.230_26359360,26359360,17.29,0,0.25,1,0,18.54,2,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:16:00.0000000 +00:00,NULL,15TH ST NW,Washington,DC,20024,38.88902,-77.03301,NULL,4501 ARLINGTON BLVD,Arlington,VA,22203,38.86907,-77.10884,6.3,12
1,UVC,2017-01-01 00:09:00.0000000 +00:00,2017-01-01 00:17:46.3533333 +00:00,B869__73914__2017-01-01T00:17:46.353_26359361,26359361,5.68,0,0.25,1,0,6.93,2,2017-01-01 00:09:00.0000000 +00:00,2017-01-01 00:16:00.0000000 +00:00,NULL,1800 M ST NW,Washington,DC,20036,38.90528,-77.04193,NULL,1601 K St Nw,Washington,DC,20006,38.90287,-77.03688,0.5,7
1,UVC,2017-01-01 00:08:00.0000000 +00:00,2017-01-01 00:17:46.5100000 +00:00,K688__61767__2017-01-01T00:17:46.510_26359362,26359362,7.57,2,0.25,0,0,9.82,1,2017-01-01 00:08:00.0000000 +00:00,2017-01-01 00:16:00.0000000 +00:00,NULL,U St Nw,Washington,DC,20009,38.91707,-77.04122,NULL,3131 CONNECTICUT AVE NW,Washington,DC,20008,38.93165,-77.0557,1.5,8
1,UVC,2017-01-01 00:13:00.0000000 +00:00,2017-01-01 00:17:46.6300000 +00:00,D203__73376__2017-01-01T00:17:46.630_26359363,26359363,5.14,0,0.25,1,0,6.39,2,2017-01-01 00:13:00.0000000 +00:00,2017-01-01 00:17:00.0000000 +00:00,NULL,999 9TH ST NW,Washington,DC,20001,38.90177,-77.02393,NULL,901-957 14TH ST NW,Washington,DC,20005,38.90146,-77.03182,0.5,4
1,UVC,2017-01-01 00:02:00.0000000 +00:00,2017-01-01 00:17:46.8866667 +00:00,C711__80981__2017-01-01T00:17:46.887_26359364,26359364,19.72,0,0.25,1,0,20.97,2,2017-01-01 00:02:00.0000000 +00:00,2017-01-01 00:16:00.0000000 +00:00,NULL,1455 F St Nw,Washington,DC,20004,38.89741,-77.03346,NULL,300-340 Madison St,Alexandria,VA,22314,38.81248,-77.04105,7.3,14
1,Yellow Cab,2017-01-01 00:22:08.0000000 +00:00,2017-01-01 00:28:05.8233333 +00:00,B276__56452__2017-01-01T00:28:05.823_26359369,26359369,6.49,0,0.25,1.25,0,7.74,2,2017-01-01 00:22:08.0000000 +00:00,2017-01-01 00:22:08.0000000 +00:00,NULL,"901 MASSACHUSETTS AVE NW, WASHINGTON, DC 20001, USA",NULL,DC,20001,38.90315,-77.02474,NULL,"420-430 MASSACHUSETTS AVE NW, WASHINGTON, DC 20001, USA",NULL,DC,20001,38.90049,-77.01711,90.1,6
1,UVC,2017-01-01 00:07:00.0000000 +00:00,2017-01-01 00:30:48.5633333 +00:00,F546__70817__2017-01-01T00:30:48.563_26359370,26359370,7.84,2,0.25,0,0,10.09,1,2017-01-01 00:07:00.0000000 +00:00,2017-01-01 00:17:00.0000000 +00:00,NULL,932 U St NW,Washington,DC,20001,38.91699,-77.02534,NULL,900 10th St Nw,Washington,DC,20001,38.90208,-77.02612,1.2,10
